station_id,station_name,item_code,item_name,freq,source,n_days,n_valid,n_missing,n_imputed,missing_ratio,quality_flag,date_start,date_end,train_end,test_start,test_end
53142,弥勒市局,4111,水位观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53142,弥勒市局,4312,水温观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53142,弥勒市局,4222,汞浓度观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53168,昭通渔洞,4111,水位观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53168,昭通渔洞,4312,水温观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53170,孟连水化站,4212,氡浓度观测,daily,oridata,527,477,50,2,0.0949,usable,2025-01-01,2026-06-11,2026-03-06,2026-03-07,2026-06-10
53170,孟连水化站,4112,水位观测,daily,oridata,527,477,50,2,0.0949,usable,2025-01-01,2026-06-11,2026-03-06,2026-03-07,2026-06-10
53170,孟连水化站,4311,水温观测,daily,oridata,527,477,50,2,0.0949,usable,2025-01-01,2026-06-11,2026-03-06,2026-03-07,2026-06-10
53170,孟连水化站,4224,汞浓度观测,daily,oridata,527,470,57,16,0.1082,usable,2025-01-01,2026-06-11,2026-03-08,2026-03-09,2026-06-10
53171,德宏芒蚌,4212,氡浓度观测,daily,oridata,527,526,1,1,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53171,德宏芒蚌,4222,汞浓度观测,daily,oridata,527,526,1,2,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53201,弥渡水化站,4212,氡浓度观测,daily,oridata,527,181,346,2,0.6565,low_quality,2025-01-01,2026-06-11,2025-05-24,2025-05-25,2025-06-30
53201,弥渡水化站,4111,水位观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53201,弥渡水化站,4313,水温观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53201,弥渡水化站,4222,汞浓度观测,daily,oridata,527,181,346,0,0.6565,low_quality,2025-01-01,2026-06-11,2025-05-24,2025-05-25,2025-06-30
SCXC32,西昌32井,,气氡,hourly,oridata2,4143,4143,0,19,0.0,usable,2015-01-01,2026-05-05,2024-01-27,2024-01-28,2026-05-05
SCXC32,西昌32井,,水氡,daily,oridata2,4143,4143,0,3,0.0,usable,2015-01-01,2026-05-05,2024-01-27,2024-01-28,2026-05-05
会泽,会泽,,水位,daily,oridata2,526,526,0,0,0.0,usable,2025-01-01,2026-06-10,2026-02-24,2026-02-25,2026-06-10
